GER;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
9;Mauser Werke;100127;8;1900;1970;general_equipment;mechanics;training;munitions;artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630028;Erma Werke;;5;1900;1970;general_equipment;munitions;training;mechanics;artillery;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;x
38;AEG;100139;6;1883;1996;aeronautics;electronics;industrial_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
33;Daimler Motoren Gesellschaft;100134;7;1890;1970;mechanics;industrial_engineering;technical_efficiency;general_equipment;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
7;Krupp;100126;9;1900;1970;industrial_engineering;mechanics;technical_efficiency;artillery;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
32;Oberschlesien Eisenwerk;100133;3;1914;1920;industrial_engineering;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
3;I.G. Farben;T3;9;1925;1970;chemistry;industrial_engineering;general_equipment;management;technical_efficiency;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;x
39;Siemens & Halske;100128;8;1847;1966;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
14;Siemens;100128;8;1966;1970;electronics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
37;Fritz Haber;100138;7;1894;1934;chemistry;rocketry;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630025;Albert Einstein;;10;1900;1955;nuclear_physics;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
16;Werner Heisenberg;T16;7;1927;1976;nuclear_physics;nuclear_engineering;mathematics;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630024;Kaiser-Wilhelm-Gesellschaft ;;6;1911;1970;nuclear_physics;chemistry;mathematics;medicine;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
17;Wernher von Braun;T17;9;1934;1976;rocketry;aeronautics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
5;Konrad Zuse;T5;7;1935;1970;mathematics;electronics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
8;MAN;T8;8;1900;1970;mechanics;vehicle_engineering;artillery;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
11;Opel;T11;7;1900;1970;mechanics;management;technical_efficiency;vehicle_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
12;Porsche;T12;9;1931;1970;mechanics;vehicle_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13;Rheinmetall;100004;7;1900;1970;artillery;mechanics;training;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
15;Volkswagen;T15;6;1937;1970;mechanics;vehicle_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
34;Joseph Vollmer;100135;6;1914;1920;mechanics;artillery;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1;Blohm & Voss;T1;8;1900;1970;naval_engineering;naval_artillery;technical_efficiency;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
6;Kaiserliche Werft Wilhelmshaven;T6;7;1918;1970;naval_engineering;technical_efficiency;naval_artillery;mechanics;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630023;Deschimag;100137;7;1918;1970;naval_engineering;technical_efficiency;naval_artillery;carrier_design;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
35;Kaiserliche Werft Wilhelmshaven;100136;6;1853;1918;naval_engineering;naval_artillery;mechanics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
36;Vulcan-Werke AG;100137;7;1851;1930;naval_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
31;Luftschiffbau Zeppelin;100132;7;1908;2010;aeronautics;aircraft_testing;mechanics;chemistry;rocketry;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
40;Albatros Werke;100140;7;1909;1931;aeronautics;mechanics;aircraft_testing;technical_efficiency;avionics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
30;Fokker Aeroplanbau;100131;7;1912;1970;aeronautics;avionics;mechanics;fighter_design;aircraft_testing;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
4;Junkers;100078;7;1914;1970;bomber_design;aeronautics;munitions;general_equipment;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
41;Gothaer Waggonfabrik;100141;8;1914;1970;aeronautics;mechanics;electronics;chemistry;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10;Messerschmitt;T10;9;1916;1970;fighter_design;aeronautics;rocketry;mechanics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
2;Heinkel Flugzeugwerke;T2;7;1922;1970;bomber_design;aeronautics;technical_efficiency;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
26;Focke-Wulf;T26;8;1923;1970;fighter_design;aeronautics;avionics;aircraft_testing;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
27;Arado;100129;7;1933;1942;bomber_design;aeronautics;technical_efficiency;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
29;Arado;100129;7;1943;1970;bomber_design;aeronautics;rocketry;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
49;Alfred von Tirpitz;100148;8;1897;1930;submarine_tactics;centralized_execution;naval_training;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
51;Reinhardt Scheer;100150;4;1913;1928;small_taskforce_tactics;seamanship;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
50;Franz von Hipper;100149;4;1916;1932;large_taskforce_tactics;small_taskforce_tactics;naval_training;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
19;Erich Raeder;T19;7;1922;1960;large_taskforce_tactics;naval_training;seamanship;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
56;Alfred Saalwacher;;7;1922;1960;small_taskforce_tactics;naval_training;seamanship;centralized_execution;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
25;Karl Dönitz;T25;8;1935;1970;submarine_tactics;submarine_design;seamanship;centralized_execution;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
52;Manfred von Richthofen;100151;8;1916;1966;centralized_execution;fighter_tactics;training;individual_courage;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
21;Ernst Udet;T21;7;1918;1954;combined_arms_focus;piloting;fighter_tactics;bomber_tactics;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630022;Alfred Bülowius;T7015;6;1930;1970;piloting;training;bomber_tactics;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
24;Hugo Sperrle;T24;7;1935;1970;bomber_tactics;training;centralized_execution;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
18;Adolf Galland;T18;5;1941;1970;fighter_tactics;piloting;fighter_design;centralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
28;Jäger Kampfschule;100130;7;1900;1970;airborne_training;mountain_training;small_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
46;Alfred von Schlieffen;100145;7;1891;1906;centralized_execution;large_unit_focus;large_unit_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
45;Helmuth von Moltke;100144;6;1906;1916;centralized_execution;large_unit_focus;large_unit_tactics;infantry_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630026;August von Mackensen;;7;1906;1935;decentralized_execution;large_unit_focus;large_unit_tactics;individual_courage;infantry_focus;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;x
48;Max Hoffmann;100147;8;1914;1927;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
43;Paul von Hindenburg;100502;7;1914;1934;centralized_execution;large_unit_focus;large_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
57;Preußische Kriegsakademie;;6;1801;1970;centralized_execution;training;small_unit_tactics;individual_courage;maneuver_tactics;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;x
44;Erich Ludendorff;100143;7;1914;1937;centralized_execution;large_unit_focus;large_unit_tactics;individual_courage;cavalry_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
42;Georg Bruchmüller;100142;5;1916;1940;centralized_execution;combined_arms_focus;large_unit_tactics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
55;Kurt von Hammerstein-Equord;;6;1925;1943;centralized_execution;combined_arms_focus;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630027;Ludwig Beck;;7;1935;1970;centralized_execution;infantry_focus;large_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
54;Werner von Fritsch;;5;1932;1948;centralized_execution;infantry_focus;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
58;Hans von Seeckt;;8;1916;1935;decentralized_execution;infantry_focus;small_unit_tactics;maneuver_tactics;technical_efficiency;training;;;;;;;;;;;;;;;;;;;;;;;;;;;x
47;Oskar von Hutier;100146;9;1917;1934;decentralized_execution;small_unit_tactics;individual_courage;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
22;Heinz Guderian;T22;9;1939;1954;combined_arms_focus;small_unit_tactics;decentralized_execution;training;blitzkrieg_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630021;Smilo von Lüttwitz;100604;6;1945;1970;training;small_unit_tactics;combined_arms_focus;decentralized_execution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
20;Erich von Manstein;T20;9;1940;1973;combined_arms_focus;small_unit_tactics;decentralized_execution;maneuver_tactics;training;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;x
630020;Adolf Heusinger;100605;7;1954;1970;training;small_unit_tactics;combined_arms_focus;centralized_execution;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
